66	13101	6
26	10605	17
58	10617	19
5	13318	5
13	10191	14
31	10571	20
20	13014	11
71	14126	9
95	14249	18
36	12214	3
97	14907	14
38	14562	1
71	12258	10
69	13009	20
77	12428	16
10	12829	15
27	10188	9
22	12418	17
9	14759	16
86	11543	6
98	11112	14
84	10401	14
54	13730	3
64	12969	14
55	12569	1
54	14676	7
63	14258	6
15	10451	9
69	13761	10
86	11439	20
22	14279	3
18	13541	8
31	14678	9
11	12771	17
60	13123	9
78	13321	20
84	12778	1
46	11159	10
99	14180	3
28	10758	7
19	13428	10
17	12108	15
52	11842	17
63	11123	20
94	12575	6
47	12731	10
97	14544	2
53	10098	15
95	13812	13
69	10961	18
25	10162	16
8	14603	18
37	12152	5
71	11264	6
17	11047	7
2	12605	15
16	12617	6
67	11573	5
25	13286	14
73	11108	14
12	14169	4
94	11872	4
22	14287	12
43	10511	3
27	11275	14
80	11817	17
41	14635	5
91	12632	14
59	12904	15
55	14185	6
21	13181	5
55	12959	9
12	11154	17
14	14006	14
13	13654	9
18	12018	2
59	12239	6
86	11621	6
42	11035	7
51	11753	16
48	13376	1
34	11130	10
91	13596	14
24	13365	3
98	11313	3
58	13924	16
25	12044	4
66	14768	8
97	11735	7
92	10628	8
12	13061	18
5	13324	3
65	13955	11
96	11335	14
40	11753	16
17	14404	2
17	14204	9
52	11297	19
62	14078	15
64	11809	18
16	14965	12
28	10624	2
26	14668	12
100	14670	20
30	11464	3
50	11312	13
62	14041	10
26	13726	6
97	13001	8
94	12125	17
41	10061	9
63	14004	6
10	10587	5
72	14546	19
47	10847	19
43	11103	20
81	10618	12
12	10084	12
42	14522	5
31	11582	11
71	11570	11
75	12975	19
57	13327	10
87	12009	3
38	14502	18
52	13932	12
38	12667	8
39	10689	7
30	11428	20
88	11064	18
3	13913	17
71	10029	12
44	13576	12
99	14322	12
48	14664	15
41	13708	3
66	14470	3
68	14652	16
15	11610	4
21	12264	7
93	13445	10
60	14206	13
35	13382	18
31	10401	2
1	11965	14
83	14557	5
58	14439	11
88	11104	7
78	11771	18
2	12777	14
42	11158	6
27	10295	4
11	14395	2
11	10321	2
23	11753	17
5	13355	11
12	11607	9
98	13136	12
77	10235	10
14	14088	10
77	11629	3
22	14426	17
81	13681	7
50	13606	1
12	12386	17
48	13286	18
51	13657	14
32	14522	5
28	12240	13
70	12498	1
71	14847	2
61	11677	15
95	10056	10
97	11190	19
21	13100	13
38	14288	3
75	11432	8
60	13141	2
81	12260	9
89	14688	9
25	10558	5
33	13933	16
98	12543	3
9	12674	13
41	12702	10
75	10560	6
64	14475	12
46	14779	5
63	10545	7
98	14008	18
32	10284	2
3	13604	3
70	14405	17
85	12035	7
1	13283	16
75	10968	2
60	10274	7
14	11269	1
85	13949	4
3	13501	14
42	14979	15
26	13841	10
58	11879	17
37	10251	5
46	13925	10
25	12231	6
47	14389	19
26	11914	15
55	10898	17
4	10909	19
98	13375	4
16	12188	9
65	13749	18
28	10862	17
27	11128	1
11	13432	10
56	13027	7
86	12810	17
77	10787	13
97	13573	12
68	12703	4
89	11982	8
6	11474	7
8	12997	14
42	10937	15
10	14927	4
75	12175	10
34	12382	12
59	10569	3
36	11971	6
80	13409	1
30	12996	13
63	11897	17
63	10291	8
13	12392	1
65	12229	8
12	13320	4
46	11090	6
10	11702	2
62	11505	6
27	13461	19
7	11390	19
67	10555	12
8	12371	13
33	10564	8
11	11064	20
58	14704	14
74	11205	15
11	11712	10
76	11023	6
57	10030	2
55	11835	8
50	10272	5
9	14928	7
79	10219	4
57	10638	3
91	14968	3
7	10234	8
62	12618	10
18	14797	19
46	14529	19
33	12527	10
53	13909	15
2	13054	4
80	12411	20
34	14763	4
55	12707	5
36	14264	5
14	12510	20
72	14660	17
92	11602	2
27	13174	2
43	12284	11
73	10194	7
36	14460	8
97	11339	12
41	11406	12
26	13149	9
73	10474	2
70	10990	1
51	14048	17
91	10479	6
7	12667	17
88	14524	10
66	14096	11
87	14998	20
83	10811	5
40	11565	14
28	13304	14
68	12719	11
3	13667	6
54	11061	5
50	12283	16
10	14530	15
72	12649	8
8	12978	17
92	14260	2
10	14333	1
77	10573	10
20	13152	9
60	11931	20
31	14243	4
24	10617	13
28	11863	11
17	13682	6
50	13386	16
28	10983	2
88	13807	14
45	14673	18
23	13830	2
74	11484	17
37	12463	11
75	12048	14
21	14193	10
21	13214	10
56	14638	3
78	11346	9
72	14627	9
37	13599	13
30	14317	19
31	10069	8
51	12700	2
72	14019	5
74	13776	6
11	10344	8
60	13380	3
22	14460	1
74	12217	10
66	10098	8
40	14957	16
90	12234	11
77	14502	17
12	13474	3
41	14178	3
89	10213	11
18	13056	18
8	13882	1
51	10427	20
91	12842	12
87	14247	11
71	11621	17
48	14212	7
73	11675	4
54	12394	20
2	14045	2
89	14249	9
99	12449	9
52	11585	5
73	11940	8
58	14302	7
26	11269	17
59	13497	11
32	12079	5
21	12245	6
69	12711	6
7	12455	6
92	10117	15
17	14392	8
12	10946	1
60	13709	10
95	10731	10
84	11395	5
14	12164	3
55	12860	9
21	13884	1
14	14136	16
92	13334	18
9	13301	17
62	10423	8
49	12354	11
51	13571	14
75	11292	7
81	14256	6
8	14633	2
17	11849	10
29	14847	3
32	14899	8
24	13399	2
56	14314	10
64	11117	4
85	13250	20
60	10204	18
77	12271	11
74	11652	20
52	14224	15
84	14588	6
39	11644	3
28	10834	10
15	11359	1
60	10945	8
82	10818	13
7	11115	6
10	12838	7
60	12622	11
59	12904	13
39	13603	17
34	13591	19
20	11263	18
8	12879	10
48	12257	16
83	10805	6
13	14608	4
35	12214	13
47	13715	7
97	13958	17
61	13454	12
85	13811	12
20	11321	10
46	13103	19
74	14951	13
80	13125	3
56	13852	8
25	12303	14
49	10186	6
22	14357	20
60	11173	10
10	12392	18
90	13147	14
22	13121	18
80	13361	7
26	13079	10
98	13351	3
24	12008	1
45	11752	5
93	11795	15
28	14930	8
50	14275	8
46	13212	11
77	14482	20
43	11708	3
47	12278	16
36	11135	9
83	11196	5
86	11810	17
44	13248	3
66	14851	6
97	14724	13
51	11494	17
92	14027	20
95	11059	16
13	14032	2
88	14871	18
45	12843	3
31	12242	15
20	13192	10
56	10053	20
39	10537	19
73	12315	8
51	14815	4
98	12217	9
45	14421	1
43	13674	12
78	12822	14
24	11065	9
14	13304	10
90	11558	14
33	11809	16
99	12786	3
85	11986	7
67	11836	1
74	12354	3
72	14276	12
72	13825	19
94	13901	9
32	10753	18
53	12934	17
91	13083	14
50	13233	2
63	12339	7
93	12897	7
22	10549	4
67	12476	15
28	12141	17
94	10860	11
76	11937	12
35	13314	9
21	11616	17
55	13811	16
36	11208	17
5	10415	8
24	13981	4
57	13624	14
25	13268	14
16	11240	4
100	14846	9
11	13697	6
50	11393	17
93	13567	6
53	13357	7
45	11521	6
92	11163	7
42	13472	8
37	10955	14
92	10497	1
76	10287	2
66	12721	16
31	11277	11
57	12721	17
59	11585	2
93	10193	2
33	14012	7
41	11172	1
82	12894	6
7	13717	11
60	12941	4
80	10846	14
19	14376	3
56	10702	1
76	11763	14
55	14180	8
30	12158	4
61	12945	6
67	11746	17
6	14194	20
52	11187	11
96	14844	20
63	13932	3
43	13745	4
93	13839	14
31	13252	18
33	11362	15
90	13878	7
40	14937	20
89	10679	17
84	10605	1
17	10181	19
54	13987	8
74	14577	1
23	14330	14
99	13415	17
64	11797	14
95	13664	12
23	13104	10
21	12791	20
96	13719	14
33	12972	13
13	13822	15
76	13819	18
50	12973	8
70	13341	19
63	12034	7
18	11231	16
13	14457	8
48	14695	9
45	11682	5
41	13879	4
40	14509	6
6	14310	19
9	14384	12
85	12217	3
21	12649	20
56	12856	4
68	13894	10
88	11033	15
24	13283	17
32	11587	9
62	10477	17
19	11468	16
64	12872	11
39	10441	8
19	11376	9
26	11307	9
47	14444	16
9	13628	20
68	12626	14
57	14076	5
10	13870	12
17	11159	7
32	10116	5
19	14572	20
61	11457	14
13	13467	19
26	14948	8
42	14266	9
67	12632	8
83	12557	16
8	10347	16
34	11462	7
82	10062	1
11	14653	5
18	11382	20
77	12407	9
31	12732	17
77	11566	17
82	13385	19
14	12530	15
98	12490	11
47	10575	17
24	11333	20
38	11588	14
89	10775	2
16	11215	12
46	14469	1
94	12575	20
94	11537	16
94	12648	13
40	13399	11
34	10609	9
73	13528	4
13	12654	5
44	14653	5
16	14378	4
77	13267	9
35	13381	13
67	10211	20
55	12656	17
9	11520	15
39	14914	13
18	12752	1
63	12153	11
42	11624	8
84	12503	12
74	13927	9
60	10835	18
19	10245	1
90	13385	2
45	10896	4
36	10205	5
48	10259	19
60	14885	7
13	10699	5
90	14646	8
25	14152	11
40	14056	15
38	12453	3
87	11008	19
64	11399	18
96	10885	6
37	10306	6
14	11763	9
64	10724	17
11	12365	1
66	11428	3
66	13225	17
54	10254	8
